sample,Med_Segsize,Mean_Segsize,Var_Segsize,Med_BpChrArm,Mean_BpChrArm,totalBP_ChrArm,Med_BP10MB,Mean_BP10MB,totalBP10MB,Med_ChangePt,Mean_ChangePt,total_ChangePt,Med_copyno,Mean_copyno,total_copyno,Med_osCN,Mean_osCN,total_osCN,sample_id,ploidy,cellularity,distance
2259_p20,4844999,21721170.88,1.14481E+15,2,2.409090909,106,0,0.353333333,106,1.019662715,1.035366694,109.7488696,1.909522791,1.667005912,213.3767567,0,0.764705882,26,JBLAB-6316,1.3,0.98,0.047
CIOV3_p7,3014999,13952793.12,6.13571E+14,3.5,4.136363636,182,0,0.606666667,182,0.902605693,0.831547721,151.3416852,2.000840741,2.088978742,426.1516633,0,0.489583333,47,JBLAB-6318,1.97,0.98,0.055
IGROV_1,19499999,33833854.42,1.56444E+15,0,1.386363636,61,0,0.203333333,61,1.820338875,1.726512518,105.3172636,3.953600551,3.86024224,320.4001059,0,0.5,12,JBLAB-6351,3.97,0.95,0.067
JB126_p22,3539999,15283063.52,6.48055E+14,3,3.727272727,164,0,0.546666667,164,1.149976721,2.174123993,356.5563349,3.736892978,4.459468192,829.4610838,0,0.5,41,JBLAB-6381,3,0.99,0.073
JBLAB-6319,1589999,9981120.495,3.83088E+14,4.5,6.795454545,299,0,0.996666667,299,1.035397149,2.330823269,696.9161575,3.025967413,5.11711653,1642.594406,0,0.688741722,104,JBLAB-6319,2.97,0.96,0.061
JBLAB-6320,1649999,10743560.15,5.11674E+14,5,5.818181818,256,0,0.853333333,256,0.933687738,1.234744472,316.0945849,2.918999508,3.185127702,885.4655012,0,0.527131783,68,JBLAB-6320,2.07,0.94,0.12
JBLAB-6321,2969999,13237606.66,5.4594E+14,3.5,4.25,187,0,0.623333333,187,0.89866548,0.834571012,156.0647793,2.009433358,2.066562573,431.9115777,0,0.67816092,59,JBLAB-6321,1.97,0.97,0.058
JBLAB-6322,20789999,35187691.31,1.63154E+15,1.5,1.272727273,56,0,0.186666667,56,0.983662804,1.097350023,61.45160127,2.95571203,2.624905201,204.7426057,0,0.333333333,4,JBLAB-6322,2.98,0.98,0.043
JBLAB-6324,3749999,12758471.22,4.39032E+14,3,4.409090909,194,0,0.646666667,194,1.091985704,1.74184219,337.9173849,2.902799861,3.416041796,737.8650279,0,0.558823529,57,JBLAB-6324,2.78,0.96,0.098
JBLAB-6325,34649999,56663876.55,4.10676E+15,0,0.613636364,27,0,0.09,27,1.262918856,1.846686359,49.8605317,3.974763115,4.02403666,197.1777963,0,0.4,2,JBLAB-6325,3.95,0.94,0.065
JBLAB-6326,11219999,21541725.62,7.58231E+14,2,2.659090909,117,0,0.39,117,1.045294575,1.002573807,117.3011354,1.955629768,2.048583455,284.7531002,0,0.530612245,26,JBLAB-6326,1.85,0.89,0.125
JBLAB-6327,2009999,10663087.8,4.10193E+14,4,5.386363636,237,0,0.79,237,1.143084975,1.464306901,347.0407355,4.106206775,4.497245381,1164.786554,0,0.694214876,84,JBLAB-6327,3.93,0.82,0.136
JBLAB-6328,1739999,6661999,3.28528E+14,13.5,14.15909091,623,2,2.076666667,623,1.075533662,1.315169763,819.3507624,3.351724138,3.630834056,2341.887966,1,0.967272727,266,JBLAB-6328,2.9,0.98,0.103
