sample_id,s1,s2,s3,s4,s5,s6,s7,X..CA.cells,CA_group,X..MN.cells,MN_group
JBLAB-6322,0.652431718,0.142985232,0.157841919,0,0,0.036227876,0.010513255,21.45298468,low,6.939622168,low
JBLAB-6324,0.141454208,0.102342597,0.201086917,0.089571874,0.111126091,0.142142341,0.212275973,20.1115618,low,43.96582773,high
JBLAB-6343,0.316470334,0.201750308,0.404352197,0,0,0.077427161,0,5.705021506,low,10.0781847,low
JBLAB-6342,0.629286248,0.064944978,0.305768775,0,0,0,0,15.40390671,low,3.954831228,low
JBLAB-6334,0.051500691,0.255479467,0.494777572,0,0.073455496,0.021854127,0.102932647,37.73885755,high,16.47114333,high
JBLAB-6374,0.230179915,0.212113936,0.21787076,0.057037029,0.043501292,0.239297069,0,21.83157004,low,12.93296763,low
JBLAB-6316,0.421028718,0.115933897,0.41495321,0,0.029625056,0.018459119,0,29.9104879,high,5.84460769,low
JBLAB-6381,0.193497502,0.153440851,0.078884975,0.134105549,0.016562469,0.188411062,0.235097591,40.09171551,high,8.411019684,low
JBLAB-6318,0.205881517,0.093740865,0.335367396,0,0.231457336,0.025981288,0.107571598,9.339942775,low,19.15805583,high
JBLAB-6319,0.051883757,0.289703935,0.212520129,0.084792312,0.039189372,0.237504782,0.084405713,20.65162907,low,21.61236424,high
JBLAB-6320,0.118688975,0.229020133,0.141695999,0.054457343,0.194831696,0.124383844,0.136922011,24.27671927,low,6.206859768,low
JBLAB-6321,0.202226363,0.127796819,0.362685913,0,0.192384086,0.011086901,0.103819917,5.19228824,low,14.02321726,low
JBLAB-6357,0.332742439,0,0,0.118691252,0.293697721,0.025531999,0.229336589,28.58187135,low,16.99926901,high
JBLAB-6327,0.128534522,0.218782913,0,0.187072236,0.098365972,0.137581591,0.229662766,49.79955092,high,30.32293426,high
JBLAB-6326,0.300540792,0,0.316366521,0,0.116618403,0,0.266474284,29.76331044,high,16.14585699,high
JBLAB-6387,0.249300977,0,0.144798562,0.362650503,0,0,0.243249957,29.62976393,,10.55555984,low
JBLAB-6373,0.216072876,0.177251346,0.498587128,0,0,0.04185731,0.066231341,13.6907292,low,5.264729897,low
JBLAB-6341,0.409229025,0.17324545,0.154002987,0,0.041449778,0.062485944,0.159586816,48.89197968,high,6.904347093,low
JBLAB-6389,0.414747515,0.176363381,0,0.106632647,0.015173649,0.212700747,0.074382062,29.14320101,low,6.940309559,low
JBLAB-6344,1,0,0,0,0,0,0,26.38275982,low,7.90578324,low
JBLAB-6345,0.865491775,0,0.110797859,0,0.023710365,0,0,39.64265152,high,19.12543198,high
JBLAB-6347,0.982959676,0,0,0,0.017040324,0,0,,,,
