"Field_ID","Well_ID","Field","Experiment","Compound","Cell.Type","Nuclei.Number","AV_Well_NucleusSize","AV_Well_NucleusIntensity","Centrosome.Number","avCentrosome.Size","medCentrosome.Size","MN.Number","CAScore","MNScore","MN_posCells","CentrosomeAmp_Cells","Fraction_MNcells","Fraction_CAcells"
"Plate1.1.1_F2","Plate1.1.1",2,"Plate1","Stain1","CAOV3",53,259.166343396226,9640.03849056604,81,2.93132224489796,3.04977,20,1.52830188679245,0.377358490566038,11,20,20.7547169811321,37.7358490566038
"Plate1.1.1_F4","Plate1.1.1",4,"Plate1","Stain1","CAOV3",72,245.051119444444,9871.22416666667,100,2.92445416666667,3.06295,11,1.38888888888889,0.152777777777778,9,30,12.5,41.6666666666667
"Plate1.1.1_F5","Plate1.1.1",5,"Plate1","Stain1","CAOV3",45,248.933188888889,10447.7386666667,56,2.87597947368421,3.00459,15,1.24444444444444,0.333333333333333,12,15,26.6666666666667,33.3333333333333
"Plate1.1.2_F1","Plate1.1.2",1,"Plate1","Stain1","CAOV3",89,216.821917977528,10582.9185393258,131,2.88446189873418,3.03848,20,1.47191011235955,0.224719101123595,12,44,13.4831460674157,49.438202247191
"Plate1.1.2_F3","Plate1.1.2",3,"Plate1","Stain1","CAOV3",40,204.34499,11557.19575,64,2.95618,3.03848,4,1.6,0.1,4,20,10,50
"Plate1.1.3_F1","Plate1.1.3",1,"Plate1","Stain1","CAOV3",154,197.098201948052,11346.5450649351,210,2.82306576923077,3.00459,29,1.36363636363636,0.188311688311688,25,67,16.2337662337662,43.5064935064935
"Plate1.1.3_F3","Plate1.1.3",3,"Plate1","Stain1","CAOV3",64,210.4939875,9248.20109375,102,2.87271355932203,3.02718,9,1.59375,0.140625,8,32,12.5,50
"Plate1.2.3_F1","Plate1.2.3",1,"Plate1","Stain1","CAOV4",177,110.992805649718,14517.0183050847,148,2.9899071559633,3.09495,76,0.836158192090395,0.429378531073446,41,32,23.1638418079096,18.0790960451977
"Plate1.3.1_F1","Plate1.3.1",1,"Plate1","Stain1","COV362",62,179.003066129032,10692.2306451613,71,2.85523745098039,3.07236,35,1.14516129032258,0.564516129032258,17,18,27.4193548387097,29.0322580645161
"Plate1.3.1_F2","Plate1.3.1",2,"Plate1","Stain1","COV362",115,172.943186956522,10364.6936521739,158,2.86751101010101,3.06107,13,1.37391304347826,0.11304347826087,11,43,9.56521739130435,37.3913043478261
"Plate1.3.1_F3","Plate1.3.1",3,"Plate1","Stain1","COV362",118,164.007655932203,11036.2342372881,153,2.89422951456311,3.07236,26,1.29661016949153,0.220338983050847,21,43,17.7966101694915,36.4406779661017
"Plate1.3.1_F4","Plate1.3.1",4,"Plate1","Stain1","COV362",73,207.418934246575,9919.84671232877,93,2.8293,3.07236,15,1.27397260273973,0.205479452054795,12,28,16.4383561643836,38.3561643835616
"Plate1.3.1_F5","Plate1.3.1",5,"Plate1","Stain1","COV362",81,190.054241975309,10423.5038271605,78,2.87677157894737,3.07236,9,0.962962962962963,0.111111111111111,8,18,9.87654320987654,22.2222222222222
"Plate1.3.2_F1","Plate1.3.2",1,"Plate1","Stain1","COV362",75,164.441652,12063.5888,91,2.88733921875,3.07236,32,1.21333333333333,0.426666666666667,25,23,33.3333333333333,30.6666666666667
"Plate1.3.2_F2","Plate1.3.2",2,"Plate1","Stain1","COV362",58,195.225187931034,10498.3606896552,80,2.85759980392157,3.07236,14,1.37931034482759,0.241379310344828,13,23,22.4137931034483,39.6551724137931
"Plate1.3.2_F3","Plate1.3.2",3,"Plate1","Stain1","COV362",78,176.620912820513,10530.6762820513,116,2.79900637681159,3.04977,52,1.48717948717949,0.666666666666667,25,38,32.0512820512821,48.7179487179487
"Plate1.3.2_F4","Plate1.3.2",4,"Plate1","Stain1","COV362",81,183.864890123457,9877.9537037037,128,2.90837227272727,3.04977,57,1.58024691358025,0.703703703703704,28,34,34.5679012345679,41.9753086419753
"Plate1.3.2_F5","Plate1.3.2",5,"Plate1","Stain1","COV362",102,176.435661764706,11937.6376470588,111,2.82417113924051,3.04977,20,1.08823529411765,0.196078431372549,16,27,15.6862745098039,26.4705882352941
"Plate1.3.3_F1","Plate1.3.3",1,"Plate1","Stain1","COV362",163,149.958588343558,12315.4493251534,208,2.86537772727273,3.07236,39,1.2760736196319,0.239263803680982,33,57,20.2453987730061,34.9693251533742
"Plate1.3.3_F2","Plate1.3.3",2,"Plate1","Stain1","COV362",64,181.838509375,10944.41203125,73,2.89391245614035,3.09495,11,1.140625,0.171875,7,13,10.9375,20.3125
"Plate1.3.3_F3","Plate1.3.3",3,"Plate1","Stain1","COV362",52,192.630019230769,11294.4953846154,60,2.87818714285714,3.083655,11,1.15384615384615,0.211538461538462,10,16,19.2307692307692,30.7692307692308
"Plate1.4.1_F1","Plate1.4.1",1,"Plate1","Stain1","FUOV1",90,159.870565555556,10352.322,58,2.92199531914894,3.06107,19,0.644444444444444,0.211111111111111,12,10,13.3333333333333,11.1111111111111
"Plate1.4.1_F2","Plate1.4.1",2,"Plate1","Stain1","FUOV1",121,175.46783553719,9387.0105785124,137,2.88855404040404,3.02718,35,1.13223140495868,0.289256198347107,25,34,20.6611570247934,28.099173553719
"Plate1.4.1_F3","Plate1.4.1",3,"Plate1","Stain1","FUOV1",183,165.638731147541,10898.2055191257,174,2.88463803278689,3.04977,140,0.950819672131147,0.765027322404372,53,41,28.9617486338798,22.4043715846995
"Plate1.4.1_F4","Plate1.4.1",4,"Plate1","Stain1","FUOV1",58,160.361187931034,8310.67189655172,51,2.99061789473684,3.07236,5,0.879310344827586,0.0862068965517241,5,12,8.62068965517241,20.6896551724138
"Plate1.4.1_F5","Plate1.4.1",5,"Plate1","Stain1","FUOV1",46,195.438773913043,9481.90782608696,53,2.96923605263158,3.04977,9,1.15217391304348,0.195652173913043,7,11,15.2173913043478,23.9130434782609
"Plate1.4.2_F1","Plate1.4.2",1,"Plate1","Stain1","FUOV1",122,201.711792622951,9374.03508196721,117,2.94798352272727,3.04977,39,0.959016393442623,0.319672131147541,29,22,23.7704918032787,18.0327868852459
"Plate1.4.2_F2","Plate1.4.2",2,"Plate1","Stain1","FUOV1",162,171.247584567901,10199.3093827161,155,2.87291303571429,3.02718,75,0.95679012345679,0.462962962962963,42,33,25.9259259259259,20.3703703703704
"Plate1.4.2_F3","Plate1.4.2",3,"Plate1","Stain1","FUOV1",84,199.884869047619,9136.31488095238,89,2.88694473684211,3.04977,47,1.05952380952381,0.55952380952381,27,27,32.1428571428571,32.1428571428571
