"X","Field_ID","Plate","Compound","Concentration","Cell.Type","Nuclei.Number","Nuclei.Sum"
1,"Plate1.1.1_F2","Plate1","Stain1",NA,"CAOV3",53,949
2,"Plate1.1.1_F4","Plate1","Stain1",NA,"CAOV3",72,949
3,"Plate1.1.1_F5","Plate1","Stain1",NA,"CAOV3",45,949
4,"Plate1.1.2_F1","Plate1","Stain1",NA,"CAOV3",89,949
5,"Plate1.1.2_F3","Plate1","Stain1",NA,"CAOV3",40,949
6,"Plate1.1.3_F1","Plate1","Stain1",NA,"CAOV3",154,949
7,"Plate1.1.3_F3","Plate1","Stain1",NA,"CAOV3",64,949
8,"Plate1.2.3_F1","Plate1","Stain1",NA,"CAOV4",177,1761
9,"Plate1.3.1_F1","Plate1","Stain1",NA,"COV362",62,1827
10,"Plate1.3.1_F2","Plate1","Stain1",NA,"COV362",115,1827
11,"Plate1.3.1_F3","Plate1","Stain1",NA,"COV362",118,1827
12,"Plate1.3.1_F4","Plate1","Stain1",NA,"COV362",73,1827
13,"Plate1.3.1_F5","Plate1","Stain1",NA,"COV362",81,1827
14,"Plate1.3.2_F1","Plate1","Stain1",NA,"COV362",75,1827
15,"Plate1.3.2_F2","Plate1","Stain1",NA,"COV362",58,1827
16,"Plate1.3.2_F3","Plate1","Stain1",NA,"COV362",78,1827
17,"Plate1.3.2_F4","Plate1","Stain1",NA,"COV362",81,1827
18,"Plate1.3.2_F5","Plate1","Stain1",NA,"COV362",102,1827
19,"Plate1.3.3_F1","Plate1","Stain1",NA,"COV362",163,1827
20,"Plate1.3.3_F2","Plate1","Stain1",NA,"COV362",64,1827
21,"Plate1.3.3_F3","Plate1","Stain1",NA,"COV362",52,1827
22,"Plate1.4.1_F1","Plate1","Stain1",NA,"FUOV1",90,1948
23,"Plate1.4.1_F2","Plate1","Stain1",NA,"FUOV1",121,1948
24,"Plate1.4.1_F3","Plate1","Stain1",NA,"FUOV1",183,1948
25,"Plate1.4.1_F4","Plate1","Stain1",NA,"FUOV1",58,1948
26,"Plate1.4.1_F5","Plate1","Stain1",NA,"FUOV1",46,1948
27,"Plate1.4.2_F1","Plate1","Stain1",NA,"FUOV1",122,1948
28,"Plate1.4.2_F2","Plate1","Stain1",NA,"FUOV1",162,1948
29,"Plate1.4.2_F3","Plate1","Stain1",NA,"FUOV1",84,1948
30,"Plate1.4.2_F4","Plate1","Stain1",NA,"FUOV1",90,1948
31,"Plate1.4.2_F5","Plate1","Stain1",NA,"FUOV1",82,1948
32,"Plate1.4.3_F1","Plate1","Stain1",NA,"FUOV1",112,1948
33,"Plate1.4.3_F2","Plate1","Stain1",NA,"FUOV1",101,1948
34,"Plate1.4.3_F3","Plate1","Stain1",NA,"FUOV1",62,1948
35,"Plate1.4.3_F4","Plate1","Stain1",NA,"FUOV1",110,1948
36,"Plate1.4.3_F5","Plate1","Stain1",NA,"FUOV1",86,1948
37,"Plate1.5.1_F2","Plate1","Stain1",NA,"59M",44,810
38,"Plate1.5.1_F3","Plate1","Stain1",NA,"59M",45,810
39,"Plate1.5.1_F5","Plate1","Stain1",NA,"59M",44,810
40,"Plate1.5.2_F1","Plate1","Stain1",NA,"59M",45,810
41,"Plate1.5.2_F2","Plate1","Stain1",NA,"59M",33,810
42,"Plate1.5.2_F4","Plate1","Stain1",NA,"59M",41,810
43,"Plate1.5.2_F5","Plate1","Stain1",NA,"59M",33,810
44,"Plate1.5.3_F1","Plate1","Stain1",NA,"59M",51,810
45,"Plate1.6.1_F1","Plate1","Stain1",NA,"COV318",47,548
46,"Plate1.6.1_F2","Plate1","Stain1",NA,"COV318",41,548
47,"Plate1.6.1_F3","Plate1","Stain1",NA,"COV318",47,548
48,"Plate1.6.1_F4","Plate1","Stain1",NA,"COV318",50,548
49,"Plate1.6.1_F5","Plate1","Stain1",NA,"COV318",33,548
50,"Plate1.6.2_F1","Plate1","Stain1",NA,"COV318",49,548
51,"Plate1.6.2_F2","Plate1","Stain1",NA,"COV318",58,548
52,"Plate1.6.2_F4","Plate1","Stain1",NA,"COV318",37,548
53,"Plate1.6.2_F5","Plate1","Stain1",NA,"COV318",50,548
54,"Plate1.6.3_F1","Plate1","Stain1",NA,"COV318",37,548
55,"Plate1.6.3_F2","Plate1","Stain1",NA,"COV318",33,548
56,"Plate1.6.3_F5","Plate1","Stain1",NA,"COV318",66,548
57,"Plate1.7.1_F1","Plate1","Stain1",NA,"NIH:OVCAR3",80,1675
58,"Plate1.7.1_F2","Plate1","Stain1",NA,"NIH:OVCAR3",101,1675
59,"Plate1.7.1_F3","Plate1","Stain1",NA,"NIH:OVCAR3",78,1675
60,"Plate1.7.1_F4","Plate1","Stain1",NA,"NIH:OVCAR3",54,1675
61,"Plate1.7.2_F1","Plate1","Stain1",NA,"NIH:OVCAR3",99,1675
62,"Plate1.7.2_F2","Plate1","Stain1",NA,"NIH:OVCAR3",34,1675
63,"Plate1.7.2_F3","Plate1","Stain1",NA,"NIH:OVCAR3",76,1675
64,"Plate1.7.2_F5","Plate1","Stain1",NA,"NIH:OVCAR3",34,1675
65,"Plate1.7.3_F1","Plate1","Stain1",NA,"NIH:OVCAR3",152,1675
66,"Plate1.7.3_F2","Plate1","Stain1",NA,"NIH:OVCAR3",46,1675
67,"Plate1.7.3_F4","Plate1","Stain1",NA,"NIH:OVCAR3",37,1675
68,"Plate1.7.3_F5","Plate1","Stain1",NA,"NIH:OVCAR3",56,1675
69,"Plate2.1.1_F1","Plate2","Stain1",NA,"59M",86,810
70,"Plate2.1.1_F2","Plate2","Stain1",NA,"59M",58,810
71,"Plate2.1.1_F4","Plate2","Stain1",NA,"59M",44,810
72,"Plate2.1.2_F1","Plate2","Stain1",NA,"59M",49,810
73,"Plate2.1.2_F4","Plate2","Stain1",NA,"59M",58,810
74,"Plate2.1.3_F3","Plate2","Stain1",NA,"59M",49,810
75,"Plate2.1.3_F4","Plate2","Stain1",NA,"59M",30,810
76,"Plate2.1.3_F1","Plate2","Stain1",NA,"59M",58,810
77,"Plate2.1.3_F2","Plate2","Stain1",NA,"59M",42,810
78,"Plate2.2.1_F2","Plate2","Stain1",NA,"CAOV3",34,949
79,"Plate2.2.1_F1","Plate2","Stain1",NA,"CAOV3",122,949
80,"Plate2.2.2_F1","Plate2","Stain1",NA,"CAOV3",36,949
81,"Plate2.2.2_F5","Plate2","Stain1",NA,"CAOV3",45,949
82,"Plate2.2.2_F4","Plate2","Stain1",NA,"CAOV3",64,949
83,"Plate2.2.3_F1","Plate2","Stain1",NA,"CAOV3",71,949
84,"Plate2.2.3_F2","Plate2","Stain1",NA,"CAOV3",60,949
85,"Plate2.3.1_F5","Plate2","Stain1",NA,"CAOV4",76,1761
86,"Plate2.3.1_F2","Plate2","Stain1",NA,"CAOV4",158,1761
87,"Plate2.3.1_F3","Plate2","Stain1",NA,"CAOV4",79,1761
88,"Plate2.3.1_F4","Plate2","Stain1",NA,"CAOV4",64,1761
89,"Plate2.3.1_F1","Plate2","Stain1",NA,"CAOV4",186,1761
90,"Plate2.3.2_F1","Plate2","Stain1",NA,"CAOV4",98,1761
91,"Plate2.3.2_F3","Plate2","Stain1",NA,"CAOV4",129,1761
92,"Plate2.3.2_F5","Plate2","Stain1",NA,"CAOV4",162,1761
93,"Plate2.3.2_F2","Plate2","Stain1",NA,"CAOV4",151,1761
94,"Plate2.3.2_F4","Plate2","Stain1",NA,"CAOV4",87,1761
95,"Plate2.3.3_F1","Plate2","Stain1",NA,"CAOV4",334,1761
96,"Plate2.3.3_F5","Plate2","Stain1",NA,"CAOV4",60,1761
97,"Plate2.4.1_F1","Plate2","Stain1",NA,"CIOV4",38,103
98,"Plate2.4.3_F1","Plate2","Stain1",NA,"CIOV4",30,103
99,"Plate2.4.3_F5","Plate2","Stain1",NA,"CIOV4",35,103
100,"Plate2.6.1_F5","Plate2","Stain1",NA,"COV362",52,1827
101,"Plate2.6.1_F3","Plate2","Stain1",NA,"COV362",31,1827
102,"Plate2.6.1_F1","Plate2","Stain1",NA,"COV362",41,1827
103,"Plate2.6.1_F2","Plate2","Stain1",NA,"COV362",60,1827
104,"Plate2.6.1_F4","Plate2","Stain1",NA,"COV362",70,1827
