"Field_ID","Well_ID","Field","Experiment","Compound","Cell.Type","MitosisStatus","non.mitotic","Index","Nucleus.Area","Intensity.Nuclei.Mean","Intensity.PHH3.Mean","NumberCentrosomes_perCell"
"Plate1.1.1_F2","Plate1.1.1",2,"Plate1","Stain1","CAOV3","non-mitotic",1,0.898305084745763,238.260594915254,11659.1718644068,716.998050847458,1.50847457627119
"Plate1.1.1_F2","Plate1.1.1",2,"Plate1","Stain1","CAOV3","mitotic",0,0.101694915254237,238.260594915254,11659.1718644068,716.998050847458,1.50847457627119
"Plate1.1.1_F4","Plate1.1.1",4,"Plate1","Stain1","CAOV3","mitotic",0,0.0632911392405063,229.707213924051,11077.4334177215,414.247164556962,1.34177215189873
"Plate1.1.1_F4","Plate1.1.1",4,"Plate1","Stain1","CAOV3","non-mitotic",1,0.936708860759494,229.707213924051,11077.4334177215,414.247164556962,1.34177215189873
"Plate1.1.1_F5","Plate1.1.1",5,"Plate1","Stain1","CAOV3","mitotic",0,0.0217391304347826,245.382891304348,10975.4552173913,406.870173913043,1.26086956521739
"Plate1.1.1_F5","Plate1.1.1",5,"Plate1","Stain1","CAOV3","non-mitotic",1,0.978260869565217,245.382891304348,10975.4552173913,406.870173913043,1.26086956521739
"Plate1.1.2_F1","Plate1.1.2",1,"Plate1","Stain1","CAOV3","non-mitotic",1,0.968085106382979,209.917094680851,11248.1303191489,364.695265957447,1.4468085106383
"Plate1.1.2_F1","Plate1.1.2",1,"Plate1","Stain1","CAOV3","mitotic",0,0.0319148936170213,209.917094680851,11248.1303191489,364.695265957447,1.4468085106383
"Plate1.1.2_F3","Plate1.1.2",3,"Plate1","Stain1","CAOV3","non-mitotic",1,0.931818181818182,203.331047727273,12009.0131818182,465.54475,1.61363636363636
"Plate1.1.2_F3","Plate1.1.2",3,"Plate1","Stain1","CAOV3","mitotic",0,0.0681818181818182,203.331047727273,12009.0131818182,465.54475,1.61363636363636
"Plate1.1.3_F1","Plate1.1.3",1,"Plate1","Stain1","CAOV3","non-mitotic",1,0.974842767295597,196.04717672956,11877.9298113208,285.527773584906,1.36477987421384
"Plate1.1.3_F1","Plate1.1.3",1,"Plate1","Stain1","CAOV3","mitotic",0,0.0251572327044025,196.04717672956,11877.9298113208,285.527773584906,1.36477987421384
"Plate1.1.3_F3","Plate1.1.3",3,"Plate1","Stain1","CAOV3","non-mitotic",1,0.984615384615385,209.806310769231,9415.60107692308,331.567415384615,1.58461538461538
"Plate1.1.3_F3","Plate1.1.3",3,"Plate1","Stain1","CAOV3","mitotic",0,0.0153846153846154,209.806310769231,9415.60107692308,331.567415384615,1.58461538461538
"Plate1.2.3_F1","Plate1.2.3",1,"Plate1","Stain1","CAOV4","non-mitotic",1,0.965,113.0887125,14727.74055,385.558545,0.905
"Plate1.2.3_F1","Plate1.2.3",1,"Plate1","Stain1","CAOV4","mitotic",0,0.035,113.0887125,14727.74055,385.558545,0.905
"Plate1.3.1_F1","Plate1.3.1",1,"Plate1","Stain1","COV362","mitotic",0,0.0735294117647059,178.263186764706,11432.8664705882,462.512926470588,1.26470588235294
"Plate1.3.1_F1","Plate1.3.1",1,"Plate1","Stain1","COV362","non-mitotic",1,0.926470588235294,178.263186764706,11432.8664705882,462.512926470588,1.26470588235294
"Plate1.3.1_F2","Plate1.3.1",2,"Plate1","Stain1","COV362","non-mitotic",1,0.974576271186441,172.321110169492,10507.4794067797,281.546466101695,1.38135593220339
"Plate1.3.1_F2","Plate1.3.1",2,"Plate1","Stain1","COV362","mitotic",0,0.0254237288135593,172.321110169492,10507.4794067797,281.546466101695,1.38135593220339
"Plate1.3.1_F3","Plate1.3.1",3,"Plate1","Stain1","COV362","non-mitotic",1,0.991666666666667,165.55367,11048.9745,272.465733333333,1.31666666666667
"Plate1.3.1_F3","Plate1.3.1",3,"Plate1","Stain1","COV362","mitotic",0,0.00833333333333333,165.55367,11048.9745,272.465733333333,1.31666666666667
"Plate1.3.1_F4","Plate1.3.1",4,"Plate1","Stain1","COV362","mitotic",0,0.0987654320987654,200.093303703704,11124.4712345679,743.599098765432,1.35802469135802
"Plate1.3.1_F4","Plate1.3.1",4,"Plate1","Stain1","COV362","non-mitotic",1,0.901234567901235,200.093303703704,11124.4712345679,743.599098765432,1.35802469135802
"Plate1.3.1_F5","Plate1.3.1",5,"Plate1","Stain1","COV362","non-mitotic",1,0.89010989010989,181.100382417582,11818.7253846154,564.684252747253,0.967032967032967
"Plate1.3.1_F5","Plate1.3.1",5,"Plate1","Stain1","COV362","mitotic",0,0.10989010989011,181.100382417582,11818.7253846154,564.684252747253,0.967032967032967
"Plate1.3.2_F1","Plate1.3.2",1,"Plate1","Stain1","COV362","non-mitotic",1,0.974683544303797,161.212740506329,12306.5910126582,407.602924050633,1.24050632911392
"Plate1.3.2_F1","Plate1.3.2",1,"Plate1","Stain1","COV362","mitotic",0,0.0253164556962025,161.212740506329,12306.5910126582,407.602924050633,1.24050632911392
"Plate1.3.2_F2","Plate1.3.2",2,"Plate1","Stain1","COV362","non-mitotic",1,0.920634920634921,193.705561904762,10967.3679365079,482.183428571429,1.46031746031746
