"Row","Column","Timepoint","Centrosomes...Number.of.Objects","Centrosomes...Relative.Spot.Intensity...Mean.per.Well","Centrosomes...Spot.Contrast...Mean.per.Well","Centrosomes...Spot.Area..µm.....Mean.per.Well","Centrosomes...Spot.Roundness...Mean.per.Well","Centrosomes...Spot.Ratio.Width.to.Length...Mean.per.Well","Centrosomes...Intensity...Centrin.3.Mean...Mean.per.Well","Centrosomes...Intensity...Centrin.3.Contrast...Mean.per.Well","Centrosomes...Centrin3.pos.Centrosomes...Mean.per.Well","Nuclei.Selected...Number.of.Objects","Nuclei.Selected...Nucleus.Area..µm.....Mean.per.Well","Nuclei.Selected...Nucleus.Roundness...Mean.per.Well","Nuclei.Selected...Nucleus.Ratio.Width.to.Length...Mean.per.Well","Nuclei.Selected...Intensity.Nuclei.Mean...Mean.per.Well","Centrin3.pos.Centrosomes...Number.of.Objects","Number.of.Analyzed.Fields","Time..s.","Compound","Concentration","Cell.Type","Cell.Count","X","Plate"
1,4,0,1177,0.36097315689,0.633888240711,2.31457947469,0.882211104484,0.695317265244,366.505052983,0.187343303525,0.876805437553,318,225.15767169,0.919438976078,0.690163336668,10164.3513222,1032,5,0,"Stain2",NA,"CAOV3",10000,NA,"Plate1"
1,5,0,1906,0.324800859674,0.613069055091,2.08916107292,0.85793010666,0.659989491784,292.175674964,0.111959531937,0.768100734523,328,219.937423495,0.912814780383,0.69014493895,10383.7537625,1464,5,0,"Stain2",NA,"CAOV3",10000,NA,"Plate1"
1,6,0,1105,0.350465477924,0.640591973658,2.17854029722,0.861333823845,0.672736345769,299.498098562,0.132324357503,0.810859728507,242,195.582642623,0.895356464067,0.66111359383,10484.7245142,896,5,0,"Stain2",NA,"CAOV3",10000,NA,"Plate1"
2,4,0,278,0.477207808977,0.708655953586,2.78567009009,0.920484058585,0.81164579613,290.062779148,0.127798685781,0.895683453237,230,102.142034891,0.755155588721,0.585540788113,14274.2422168,249,5,0,"Stain2",NA,"CAOV4",10000,NA,"Plate1"
2,5,0,470,0.438172359285,0.681723842356,2.61809383488,0.908799918301,0.770842815605,259.821521169,0.0830415268381,0.836170212766,247,120.4981591,0.75145012348,0.586670544673,14415.3702694,393,5,0,"Stain2",NA,"CAOV4",10000,NA,"Plate1"
2,6,0,141,0.406602425674,0.664108795774,2.52793849265,0.891630876753,0.747642886051,270.818915624,0.0853211038958,0.836879432624,74,111.777975143,0.752413491094,0.592301901324,13206.2420356,118,5,0,"Stain2",NA,"CAOV4",10000,NA,"Plate1"
3,4,0,731,0.425070432997,0.669869616001,2.58308940332,0.907470306641,0.760469881929,270.399918763,0.141398962717,0.822161422709,383,173.940485908,0.865437540793,0.687977281391,12550.6446437,601,5,0,"Stain2",NA,"COV362",10000,NA,"Plate1"
3,5,0,854,0.397688383603,0.662195598876,2.43577061719,0.894108535949,0.723485947199,282.662763851,0.144710627176,0.812646370023,387,171.632166984,0.855628511058,0.687545190388,11732.5551658,694,5,0,"Stain2",NA,"COV362",10000,NA,"Plate1"
3,6,0,836,0.388611751402,0.652748291559,2.38839389637,0.887367831463,0.719771464675,383.22832912,0.132886589288,0.75,356,176.336686267,0.879158123784,0.703203850781,10556.0402911,627,5,0,"Stain2",NA,"COV362",10000,NA,"Plate1"
4,4,0,1557,0.406761588619,0.682748553287,2.52640915565,0.893923640296,0.736727962371,213.706686558,0.0579988951693,0.657675016057,606,182.256166697,0.88738559128,0.667010299636,10340.8109408,1024,5,0,"Stain2",NA,"FUOV1",10000,NA,"Plate1"
4,5,0,1447,0.38725330632,0.674054315304,2.44075466843,0.879119879436,0.713172624746,216.637175876,0.0618240218641,0.645473393227,492,181.270629978,0.909489626034,0.682788840606,9847.40106106,934,5,0,"Stain2",NA,"FUOV1",10000,NA,"Plate1"
4,6,0,1909,0.377635769605,0.668464096568,2.4188956067,0.87770550833,0.706338927995,213.073451901,0.055071778579,0.621267679413,627,183.030986427,0.901630933357,0.665248693514,10139.1320626,1186,5,0,"Stain2",NA,"FUOV1",10000,NA,"Plate1"
5,4,0,372,0.403201311517,0.680093494399,2.50935177369,0.886965960412,0.735257212049,269.742043017,0.144861029261,0.752688172043,157,282.913408173,0.885051755202,0.632380641061,8413.80401777,280,5,0,"Stain2",NA,"59M",10000,NA,"Plate1"
5,5,0,537,0.4024838055,0.699399811158,2.51209200848,0.880119570371,0.725889771602,285.251955581,0.139392263806,0.670391061453,186,317.948916169,0.893014454531,0.652419289692,8071.716585,360,5,0,"Stain2",NA,"59M",10000,NA,"Plate1"
5,6,0,577,0.413195971975,0.707945290571,2.49330004632,0.87999733551,0.730407527445,272.930618078,0.132994986962,0.653379549393,178,315.158887322,0.88691931864,0.627106181372,7692.67982687,377,5,0,"Stain2",NA,"59M",10000,NA,"Plate1"
6,4,0,936,0.442979126674,0.703484366644,2.59988512854,0.905018015736,0.758477230459,220.945908914,0.0659394121523,0.649572649573,271,233.983608257,0.854414861305,0.665829864174,11789.3945673,608,5,0,"Stain2",NA,"COV318",10000,NA,"Plate1"
6,5,0,613,0.429093365414,0.694724188556,2.5236954283,0.893802753456,0.738034967775,363.319352476,0.0665582168085,0.636215334421,222,212.576769582,0.820187845951,0.63191381299,11423.7759893,390,5,0,"Stain2",NA,"COV318",10000,NA,"Plate1"
