"Row","Column","Timepoint","Centrosomes...Number.of.Objects","Centrosomes...Relative.Spot.Intensity...Mean.per.Well","Centrosomes...Spot.Contrast...Mean.per.Well","Centrosomes...Spot.Area..µm.....Mean.per.Well","Centrosomes...Spot.Roundness...Mean.per.Well","Centrosomes...Spot.Ratio.Width.to.Length...Mean.per.Well","Centrosomes...Intensity...Cep164.Mean...Mean.per.Well","Centrosomes...Intensity...Cep164.Contrast...Mean.per.Well","Centrosomes...Cep164.pos.Centrosomes...Mean.per.Well","Nuclei.Selected...Number.of.Objects","Nuclei.Selected...Nucleus.Area..µm.....Mean.per.Well","Nuclei.Selected...Nucleus.Roundness...Mean.per.Well","Nuclei.Selected...Nucleus.Ratio.Width.to.Length...Mean.per.Well","Nuclei.Selected...Intensity.Nuclei.Mean...Mean.per.Well","Cep164.pos.Centrosomes...Number.of.Objects","Number.of.Analyzed.Fields","Time..s.","Compound","Concentration","Cell.Type","Cell.Count","X","Plate"
1,7,0,377,0.402027037328,0.66917184108,2.79851599282,0.923609021942,0.789081669646,785.009869856,0.416018195724,0.992042440318,281,179.168321028,0.904309150303,0.675868540488,11416.1098348,374,5,0,"Stain3",NA,"CAOV3",10000,NA,"Plate1"
1,8,0,361,0.399930461435,0.673809961666,2.77480165746,0.926420288464,0.7819738734,800.482534099,0.414835777809,0.97783933518,262,188.597857335,0.894981825192,0.668791842766,11010.6224375,353,5,0,"Stain3",NA,"CAOV3",10000,NA,"Plate1"
1,9,0,394,0.415457707168,0.683556428577,2.8023618522,0.932324920304,0.794222804421,861.76174116,0.412875464075,0.972081218274,268,212.836688034,0.874020577531,0.663884556888,10891.2730709,383,5,0,"Stain3",NA,"CAOV3",10000,NA,"Plate1"
2,7,0,25,0.448559932722,0.69180654949,2.83018880369,0.906238402312,0.783240669309,1506.17320728,0.322955508763,0.92,22,110.547575558,0.793836813759,0.643534092521,11229.7162097,23,5,0,"Stain3",NA,"CAOV4",10000,NA,"Plate1"
2,8,0,12,0.490921627828,0.687068400075,2.85021940772,0.94606038562,0.862517870548,1892.91265286,0.451695421775,1,25,84.6273441389,0.669249614178,0.519732847617,8116.78383631,12,5,0,"Stain3",NA,"CAOV4",10000,NA,"Plate1"
2,9,0,10,0.314694333532,0.594921309569,2.57310428432,0.911078851783,0.7350482643,1282.71109026,0.26607050991,1,24,189.326859574,0.562624015747,0.53020039951,5731.43299565,10,5,0,"Stain3",NA,"CAOV4",10000,NA,"Plate1"
3,7,0,567,0.411470166994,0.663876631705,2.74318153979,0.92933175128,0.783732447692,1061.68838488,0.459844972616,0.985890652557,412,181.673714683,0.87535368994,0.708620183839,11102.9463007,559,5,0,"Stain3",NA,"COV362",10000,NA,"Plate1"
3,8,0,475,0.41176579509,0.664411575166,2.74267876472,0.926412086334,0.780427515105,958.802597711,0.456126461789,0.985263157895,359,185.40319453,0.870450893807,0.704442908546,11811.7255724,468,5,0,"Stain3",NA,"COV362",10000,NA,"Plate1"
3,9,0,523,0.409538033875,0.667668461964,2.72179391811,0.923826881639,0.775955685405,916.077528931,0.46390444111,0.982791586998,404,184.153523278,0.885845219615,0.717354822461,11647.4155204,514,5,0,"Stain3",NA,"COV362",10000,NA,"Plate1"
4,7,0,504,0.399891523788,0.674939152767,2.83838607558,0.927884913125,0.799438547578,673.228685321,0.408353360442,0.962301587302,454,187.529704837,0.903310141988,0.677489305562,10335.1634843,485,5,0,"Stain3",NA,"FUOV1",10000,NA,"Plate1"
4,8,0,595,0.399226112654,0.680363776276,2.83506388341,0.927223698883,0.795958075268,634.185053972,0.378750920586,0.961344537815,493,186.574175146,0.897865992104,0.67272970948,10598.6743528,572,5,0,"Stain3",NA,"FUOV1",10000,NA,"Plate1"
4,9,0,574,0.394018534939,0.671120531362,2.82063607739,0.928013277155,0.796704517848,648.537964355,0.390300598071,0.965156794425,507,162.350554261,0.880266948874,0.66800401111,11174.7802716,554,5,0,"Stain3",NA,"FUOV1",10000,NA,"Plate1"
5,7,0,204,0.461038465545,0.714117213135,2.90470335941,0.936765260119,0.828225214844,814.051612276,0.490655971617,0.96568627451,182,289.718325493,0.874142261796,0.639365752357,8600.45021018,197,5,0,"Stain3",NA,"59M",10000,NA,"Plate1"
5,8,0,181,0.461827390017,0.72386348665,2.87566018029,0.934754953983,0.828469629941,770.117449852,0.457818345711,0.933701657459,153,286.13214357,0.866783452535,0.628664422123,8192.01595039,169,5,0,"Stain3",NA,"59M",10000,NA,"Plate1"
5,9,0,196,0.466342336472,0.723940525648,2.90661983489,0.934324384185,0.830877495053,937.602421223,0.476033778667,0.938775510204,167,286.519118174,0.886222095244,0.647133248781,7961.86033427,184,5,0,"Stain3",NA,"59M",10000,NA,"Plate1"
6,7,0,523,0.457820733526,0.704116763359,2.88170125457,0.937669688656,0.824867200687,1000.62580262,0.407145880218,0.967495219885,322,218.851794984,0.832373919094,0.625261109211,11380.0691801,506,5,0,"Stain3",NA,"COV318",10000,NA,"Plate1"
6,8,0,455,0.477467867993,0.723376227133,2.91348222181,0.944767791214,0.841600768809,943.317918862,0.393396180817,0.964835164835,290,205.346668816,0.822082188812,0.633050823091,11289.5902276,439,5,0,"Stain3",NA,"COV318",10000,NA,"Plate1"
6,9,0,453,0.461317313856,0.715184337477,2.86859633742,0.937584479067,0.823223062821,971.472181659,0.424680561021,0.9646799117,292,223.145704938,0.836264434205,0.640263535942,11518.6718423,437,5,0,"Stain3",NA,"COV318",10000,NA,"Plate1"
7,7,0,409,0.41711942159,0.688775365735,2.82005216991,0.929253370901,0.79705666604,794.697784504,0.327159870103,0.963325183374,279,176.870525061,0.836823662467,0.691802255564,11960.4081952,394,5,0,"Stain3",NA,"NIH:OVCAR3",10000,NA,"Plate1"
7,8,0,467,0.409182531984,0.685008094378,2.81157621846,0.932034948156,0.799217686033,737.793085919,0.33795415838,0.970021413276,311,189.497247796,0.865415759482,0.703817106217,11225.4291563,453,5,0,"Stain3",NA,"NIH:OVCAR3",10000,NA,"Plate1"
7,9,0,529,0.420629013863,0.691807679604,2.83108048258,0.932087625002,0.797412409233,911.573305048,0.368629677277,0.979206049149,398,169.263220602,0.826675272191,0.67216319798,12052.5104595,518,5,0,"Stain3",NA,"NIH:OVCAR3",10000,NA,"Plate1"
