Database Name	OperettaCLS
Database Link	http://10.20.176.50/ODA/OdaService.asmx
Evaluation Signature	a6eb2022-6dd0-42b1-9614-13daf2a76c2d
Plate Name	20191212_CellCharacterisationX8_Hypoxia
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - Valid Cells

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Valid Cells - Nucleus Area [µm²]	Valid Cells - Nucleus Roundness	Valid Cells - Nucleus Ratio Width to Length	Valid Cells - Intensity Nuclei Mean	Valid Cells - Intensity Nuclei Sum	Valid Cells - Intensity Nuclei CV [%]	Valid Cells - Intensity Pax8 Mean	Valid Cells - Intensity Pax8 Sum	Valid Cells - Intensity Pax8 CV [%]	Valid Cells - Nuclei Selected	Valid Cells - Number of Micronuclei Candiates	Valid Cells - Number of Micronuclei- per Cell 	Valid Cells - Object No in Nuclei	Valid Cells - Valid with MN	Valid Cells - Nucleus Area [µm²]- Mean per Cell 	Valid Cells - Nucleus Roundness- Mean per Cell 	Valid Cells - Intensity Nuclei Mean- Mean per Cell 	Valid Cells - Intensity Nuclei Sum- Mean per Cell 	Valid Cells - Intensity Pax8 Mean- Mean per Cell 	Valid Cells - Intensity Pax8 Sum- Mean per Cell 	Valid Cells - Total Spot Area- Mean per Cell 	Valid Cells - Number of Centrosomes- per Cell - Mean per Cell 	Valid Cells - Valid cell with 2 or more Centrosomes	Valid Cells - Valid cells with MN and CA	
1	1	0	3	1	2009	93	[1879,1,2158,231]	909.15	503.84	Hypoxia		CIOV1		91.9859	0.782893	0.432266	2583.52	26561200	20.1891	208.612	2144740	9.24543	0	0	0	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	3	2	212	134	[49,1,420,294]	739.36	501.46	Hypoxia		CIOV1		170.551	0.998086	0.730564	3165.92	60348700	29.9385	237.389	4525120	10.2343	0	0	0	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	3	3	902	96	[691,1,1031,238]	800.51	504.37	Hypoxia		CIOV1		166.104	0.968939	0.682904	3215.45	59694800	21.7444	219.987	4084060	9.22536	0	0	0	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	3	4	1745	157	[1426,1,1937,355]	879.52	499.19	Hypoxia		CIOV1		206.59	0.939832	0.637929	3588.43	82856900	23.3862	219.901	5077520	9.07871	1	0	0	4	0	206.59	0.939832	3588.43	82856900	219.901	5077520	302	1	0	0	
1	1	0	3	5	1134	178	[958,1,1292,419]	824	495.78	Hypoxia		CIOV1		139.191	0.96059	0.841491	3105.76	48316400	28.9921	248.787	3870380	10.0106	1	0	0	5	0	139.191	0.96059	3105.76	48316400	248.787	3870380	317	1	0	0	
1	1	0	3	6	2076	240	[1981,81,2158,420]	916.11	487.58	Hypoxia		CIOV1		100.826	0.754492	0.403119	2237.31	25212200	18.8664	212.6	2395790	10.4078	0	0	0	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	3	7	1540	275	[1381,101,1659,422]	862.54	486.43	Hypoxia		CIOV1		159.832	0.896904	0.517847	2718.85	48569600	26.6147	231.346	4132760	9.69813	1	0	0	7	0	159.832	0.896904	2718.85	48569600	231.346	4132760	576	2	1	0	
1	1	0	3	8	698	230	[584,109,808,367]	785.14	490.21	Hypoxia		CIOV1		103.313	0.802788	0.8065	4101.58	47360900	26.8435	231.988	2678770	8.54726	1	0	0	8	0	103.313	0.802788	4101.58	47360900	231.988	2678770	0	0	0	0	
1	1	0	3	9	899	342	[730,126,1037,528]	801.87	480.91	Hypoxia		CIOV1		163.751	0.819006	0.570379	2951.64	54020900	23.9037	215.458	3943310	9.57369	1	0	0	9	0	163.751	0.819006	2951.64	54020900	215.458	3943310	342	1	0	0	
1	1	0	3	10	398	269	[242,124,560,506]	756.26	482.74	Hypoxia		CIOV1		165.317	0.973589	0.859129	3199.59	59118900	26.0901	258.333	4773230	9.58411	1	0	0	10	0	165.317	0.973589	3199.59	59118900	258.333	4773230	297	1	0	0	
1	1	0	3	11	1302	372	[1037,182,1500,585]	842.88	475.76	Hypoxia		CIOV1		216.012	0.921646	0.742555	2599.65	62763300	21.9472	210.065	5071610	9.56811	1	0	0	11	0	216.012	0.921646	2599.65	62763300	210.065	5071610	599	2	1	0	
1	1	0	3	12	642	421	[486,225,858,572]	780.19	471.82	Hypoxia		CIOV1		108.046	0.903472	0.839009	4128.34	49853800	25.4821	225.384	2721740	8.9483	1	0	0	12	0	108.046	0.903472	4128.34	49853800	225.384	2721740	277	1	0	0	
1	1	0	3	13	1824	438	[1631,244,1961,627]	890.32	470.96	Hypoxia		CIOV1		158.437	0.957892	0.749935	2681.77	47488700	18.1438	236.574	4189250	9.5209	1	0	0	13	0	158.437	0.957892	2681.77	47488700	236.574	4189250	329	1	0	0	
1	1	0	3	14	1604	569	[1434,380,1770,772]	869.28	458.31	Hypoxia		CIOV1		173.003	0.891193	0.623426	2732.14	52828600	28.3922	233.724	4519280	10.6688	1	0	0	14	0	173.003	0.891193	2732.14	52828600	233.724	4519280	523	2	1	0	
1	1	0	3	15	109	560	[1,209,239,723]	726.49	467.75	Hypoxia		CIOV1		101.112	0.867663	0.562796	3755.46	42440500	24.4933	245.509	2774500	10.3799	0	0	0	15	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	3	16	1095	570	[895,411,1447,749]	824.2	457.06	Hypoxia		CIOV1		188.186	0.859995	0.47861	2675.38	56271200	20.7069	232.361	4887250	10.8659	1	0	0	16	0	188.186	0.859995	2675.38	56271200	232.361	4887250	334	1	0	0	
1	1	0	3	17	2001	690	[1842,506,2158,950]	909.14	444.06	Hypoxia		CIOV1		243.775	0.950549	0.793848	3364.26	91662500	30.6816	226.9	6182130	9.60009	0	0	0	17	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	3	18	788	827	[554,545,966,995]	789.42	438.16	Hypoxia		CIOV1		112.242	0.867349	0.803421	3029.2	38001300	27.4664	271.837	3410200	12.1282	1	1	0	18	0	112.242	0.867349	3029.2	38001300	271.837	3410200	676	2	1	0	
1	1	0	3	19	1378	765	[1132,616,1519,924]	846.07	440.7	Hypoxia		CIOV1		180.59	0.993085	0.818418	2641.43	53314700	21.2175	238.418	4812230	10.3294	1	0	0	19	0	180.59	0.993085	2641.43	53314700	238.418	4812230	349	1	0	0	
1	1	0	3	20	562	744	[449,584,672,874]	771.42	442.76	Hypoxia		CIOV1		89.7401	0.973224	0.832333	3137.66	31470700	28.9031	263.232	2640220	10.7483	1	0	0	20	0	89.7401	0.973224	3137.66	31470700	263.232	2640220	0	0	0	0	
1	1	0	3	21	184	795	[1,601,365,1028]	734.34	435.43	Hypoxia		CIOV1		171.142	0.973199	0.717707	3204.46	61294900	21.7219	245.94	4704340	10.2426	1	0	0	21	0	171.142	0.973199	3204.46	61294900	245.94	4704340	341	1	0	0	
1	1	0	3	22	1750	833	[1512,613,1918,1018]	882.98	434.56	Hypoxia		CIOV1		176.859	0.969855	0.693391	2620.63	51801900	19.5709	246.425	4871090	10.6529	1	0	0	22	0	176.859	0.969855	2620.63	51801900	246.425	4871090	344	1	0	0	
1	1	0	3	23	1180	946	[995,710,1434,1143]	831.71	421.8	Hypoxia		CIOV1		149.624	0.976581	0.694789	3333.5	55746200	20.3113	282.347	4721690	12.3068	1	0	0	23	0	149.624	0.976581	3333.5	55746200	282.347	4721690	326	1	0	0	
1	1	0	3	24	1582	1040	[1386,809,1848,1248]	867.58	413.41	Hypoxia		CIOV1		171.329	0.957392	0.792545	2866.29	54886600	20.5462	235.592	4511350	11.7148	1	0	0	24	0	171.329	0.957392	2866.29	54886600	235.592	4511350	339	1	0	0	
1	1	0	3	25	1999	1059	[1822,884,2158,1337]	909.1	409.87	Hypoxia		CIOV1		154.571	0.954324	0.825829	2780.65	48038500	28.0762	255.136	4407730	11.4972	1	0	0	25	0	154.571	0.954324	2780.65	48038500	255.136	4407730	309	1	0	0	
1	1	0	3	26	435	1054	[266,855,633,1290]	761.69	411.24	Hypoxia		CIOV1		141.473	0.982523	0.764226	3925.41	62068600	22.2579	255.764	4044150	10.4537	1	0	0	26	0	141.473	0.982523	3925.41	62068600	255.764	4044150	340	1	0	0	
1	1	0	3	27	852	1139	[615,891,1070,1445]	800.29	402.23	Hypoxia		CIOV1		144.551	0.975854	0.820069	3408.43	55066600	25.7995	221.248	3574480	8.75531	1	0	0	27	0	144.551	0.975854	3408.43	55066600	221.248	3574480	691	2	1	0	
1	1	0	3	28	226	1201	[1,1016,456,1441]	738.37	396.82	Hypoxia		CIOV1		128.991	0.975372	0.706306	3811.99	54957400	21.2117	222.583	3208970	8.19365	1	0	0	28	0	128.991	0.975372	3811.99	54957400	222.583	3208970	270	1	0	0	
1	1	0	3	29	1823	1266	[1582,1056,2011,1481]	888.98	390.11	Hypoxia		CIOV1		204.667	0.988028	0.924445	2332.03	53345300	17.7562	238.04	5445170	10.4504	1	0	0	29	0	204.667	0.988028	2332.03	53345300	238.04	5445170	309	1	0	0	
1	1	0	3	30	1224	1290	[1038,1074,1451,1470]	834.15	391.1	Hypoxia		CIOV1		190.664	0.965034	0.710874	2658.43	56651200	18.9889	237.749	5066430	11.5092	1	0	0	30	0	190.664	0.965034	2658.43	56651200	237.749	5066430	318	1	0	0	
1	1	0	3	31	1523	1462	[1308,1243,1736,1670]	862.08	373.56	Hypoxia		CIOV1		238.406	0.967858	0.844817	2225.66	59304900	19.4596	221.466	5901190	10.6345	1	0	0	31	0	238.406	0.967858	2225.66	59304900	221.466	5901190	340	1	0	0	
1	1	0	3	32	767	1511	[541,1322,968,1692]	789.34	370.45	Hypoxia		CIOV1		180.053	0.977246	0.74971	3097.17	62327500	27.7076	222.193	4471410	9.82264	1	0	0	32	0	180.053	0.977246	3097.17	62327500	222.193	4471410	242	1	0	0	
