Database Name	OperettaCLS
Database Link	http://10.20.176.50/ODA/OdaService.asmx
Evaluation Signature	af8b1d54-abee-46e8-8e0d-b6681e708724
Plate Name	20191212_CellCharacterisationX8_Normoxia
Measurement	Measurement 2
Evaluation	Evaluation1
Population	Population - Valid Cells

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Valid Cells - Nucleus Area [µm²]	Valid Cells - Nucleus Roundness	Valid Cells - Nucleus Ratio Width to Length	Valid Cells - Intensity Nuclei Mean	Valid Cells - Intensity Nuclei Sum	Valid Cells - Intensity Nuclei CV [%]	Valid Cells - Intensity Pax8 Mean	Valid Cells - Intensity Pax8 Sum	Valid Cells - Intensity Pax8 CV [%]	Valid Cells - Nuclei Selected	Valid Cells - Number of Micronuclei Candiates	Valid Cells - Number of Micronuclei- per Cell 	Valid Cells - Object No in Nuclei	Valid Cells - Valid with MN	Valid Cells - Nucleus Area [µm²]- Mean per Cell 	Valid Cells - Nucleus Roundness- Mean per Cell 	Valid Cells - Intensity Nuclei Mean- Mean per Cell 	Valid Cells - Intensity Nuclei Sum- Mean per Cell 	Valid Cells - Intensity Pax8 Mean- Mean per Cell 	Valid Cells - Intensity Pax8 Sum- Mean per Cell 	Valid Cells - Total Spot Area- Mean per Cell 	Valid Cells - Number of Centrosomes- per Cell - Mean per Cell 	Valid Cells - Valid cell with 2 or more Centrosomes	Valid Cells - Valid cells with MN and CA	
1	1	0	2	1	330	109	[155,1,736,223]	-676.84	914.49	Normoxia		CIOV1		143.696	0.886622	0.700894	3176.29	51011200	27.299	323.768	5199710	13.9667	0	0	0	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	2	2	1801	115	[1608,1,2158,233]	-541.81	913.93	Normoxia		CIOV1		156.858	0.872914	0.688201	2535.17	44444000	24.7238	310.008	5434750	15.1182	0	0	0	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	2	3	1155	153	[984,1,1322,323]	-607.38	908.06	Normoxia		CIOV1		202.892	0.938474	0.618646	2779.7	63032400	27.3904	284.203	6444580	12.9299	1	0	0	3	0	202.892	0.938474	2779.7	63032400	284.203	6444580	264	1	0	0	
1	1	0	2	4	1506	157	[1301,1,1684,314]	-576.19	908.17	Normoxia		CIOV1		195.385	0.971579	0.719918	4135.19	90300200	24.0112	294.111	6422500	12.163	1	0	0	4	0	195.385	0.971579	4135.19	90300200	294.111	6422500	469	2	1	0	
1	1	0	2	5	135	195	[1,1,251,433]	-708.64	902.95	Normoxia		CIOV1		160.929	0.91771	0.810715	3394.82	61059200	24.7297	256.808	4618950	12.8396	0	0	0	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	2	6	873	294	[694,121,1088,464]	-632.72	894.08	Normoxia		CIOV1		195.242	0.960212	0.720249	3641	79450200	27.1786	317.784	6934360	13.5885	1	0	0	6	0	195.242	0.960212	3641	79450200	317.784	6934360	313	1	0	0	
1	1	0	2	7	540	282	[372,122,722,522]	-665.49	891.79	Normoxia		CIOV1		210.605	0.975172	0.836268	2791.95	65716900	21.913	276.025	6497080	14.0717	1	0	0	7	0	210.605	0.975172	2791.95	65716900	276.025	6497080	341	1	0	0	
1	1	0	2	8	241	410	[79,203,434,589]	-692.22	884.58	Normoxia		CIOV1		208.153	0.973118	0.75657	3632.06	84496100	20.2434	281.721	6553960	12.9425	1	0	0	8	0	208.153	0.973118	3632.06	84496100	281.721	6553960	345	1	0	0	
1	1	0	2	9	1975	556	[1790,291,2158,772]	-528.53	870.52	Normoxia		CIOV1		255.933	0.976674	0.795156	3364.84	96247700	24.3473	266.337	7618310	13.066	1	0	0	9	0	255.933	0.976674	3364.84	96247700	266.337	7618310	0	0	0	0	
1	1	0	2	10	1065	687	[900,517,1230,869]	-616.25	857.36	Normoxia		CIOV1		179.593	0.853761	0.724317	2543.94	51061900	32.4764	263.925	5297490	17.5297	1	0	0	10	0	179.593	0.853761	2543.94	51061900	263.925	5297490	337	1	0	0	
