"pathway","pval","padj","ES","NES","nMoreExtreme","size","Pathway"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00166389351081531,0.0111209964412811,0.632450177801869,2.19960485072222,0,96,"HALLMARK INTERFERON ALPHA RESPONSE"
"HALLMARK_MTORC1_SIGNALING",0.0016750418760469,0.0111209964412811,0.529101252876503,2.03052411675234,0,199,"HALLMARK MTORC1 SIGNALING"
"HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY",0.00177935943060498,0.0111209964412811,0.649992595165581,1.99118103234743,0,49,"HALLMARK REACTIVE OXIGEN SPECIES PATHWAY"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00170940170940171,0.0111209964412811,0.523181524374427,1.98922130373424,0,189,"HALLMARK INTERFERON GAMMA RESPONSE"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00167785234899329,0.0111209964412811,0.521348653244692,1.85004871021771,0,113,"HALLMARK UNFOLDED PROTEIN RESPONSE"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0016750418760469,0.0111209964412811,0.474061603951164,1.81929926345083,0,199,"HALLMARK OXIDATIVE PHOSPHORYLATION"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00514579759862779,0.0257289879931389,0.536051925096274,1.80079735048585,2,78,"HALLMARK IL6 JAK STAT3 SIGNALING"
"HALLMARK_ALLOGRAFT_REJECTION",0.00168350168350168,0.0111209964412811,0.467758015840668,1.73844712249569,0,150,"HALLMARK ALLOGRAFT REJECTION"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.00512820512820513,0.0257289879931389,0.485219404368921,1.68697517215732,2,101,"HALLMARK PI3K AKT MTOR SIGNALING"
"HALLMARK_IL2_STAT5_SIGNALING",0.00168918918918919,0.0111209964412811,0.430639566357682,1.63232902404299,0,179,"HALLMARK IL2 STAT5 SIGNALING"
"HALLMARK_INFLAMMATORY_RESPONSE",0.0067911714770798,0.0286368843069874,0.422753145510399,1.5904451148342,3,169,"HALLMARK INFLAMMATORY RESPONSE"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.015625,0.0459558823529412,0.476193457849342,1.58684490447962,8,73,"HALLMARK CHOLESTEROL HOMEOSTASIS"
"HALLMARK_COAGULATION",0.011844331641286,0.0385802469135802,0.449351131265705,1.57899043490966,6,106,"HALLMARK COAGULATION"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00687285223367698,0.0286368843069874,0.414620572471499,1.56856342536044,3,181,"HALLMARK EPITHELIAL MESENCHYMAL TRANSITION"
"HALLMARK_HYPOXIA",0.0101867572156197,0.0385802469135802,0.387552606900484,1.48052349980671,5,192,"HALLMARK HYPOXIA"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.011744966442953,0.0385802469135802,0.380803806020949,1.45405611351825,6,187,"HALLMARK TNFA SIGNALING VIA NFKB"
"HALLMARK_PROTEIN_SECRETION",0.0232945091514143,0.0582362728785358,0.414221321741731,1.44062451170836,13,96,"HALLMARK PROTEIN SECRETION"
"HALLMARK_ANGIOGENESIS",0.0508771929824561,0.101754385964912,0.510310550747704,1.43722892893365,28,32,"HALLMARK ANGIOGENESIS"
"HALLMARK_KRAS_SIGNALING_UP",0.0203045685279188,0.0534330750734705,0.378862130272283,1.43204696756092,11,174,"HALLMARK KRAS SIGNALING UP"
"HALLMARK_XENOBIOTIC_METABOLISM",0.0203045685279188,0.0534330750734705,0.375962993555004,1.42108862780408,11,174,"HALLMARK XENOBIOTIC METABOLISM"
"HALLMARK_ADIPOGENESIS",0.0427350427350427,0.0916525662718556,0.345826404578074,1.31567101359945,24,190,"HALLMARK ADIPOGENESIS"
"HALLMARK_GLYCOLYSIS",0.0439932318104907,0.0916525662718556,0.343799827148079,1.31405004630862,25,193,"HALLMARK GLYCOLYSIS"
"HALLMARK_MYC_TARGETS_V1",0.0552763819095477,0.102363670202866,0.332094973924711,1.27447600991366,32,199,"HALLMARK MYC TARGETS V1"
"HALLMARK_COMPLEMENT",0.0642978003384095,0.114817500604303,0.336798684451581,1.27305290291421,37,174,"HALLMARK COMPLEMENT"
"HALLMARK_PANCREAS_BETA_CELLS",0.202108963093146,0.313203484388764,0.445474674126369,1.22553416113656,114,29,"HALLMARK PANCREAS BETA CELLS"
"HALLMARK_MYC_TARGETS_V2",0.168674698795181,0.284346846846847,0.377313419028125,1.20644353684331,97,58,"HALLMARK MYC TARGETS V2"
"HALLMARK_APICAL_SURFACE",0.233743409490334,0.333919156414763,0.395687036264275,1.17013066437527,132,41,"HALLMARK APICAL SURFACE"
"HALLMARK_ANDROGEN_RESPONSE",0.187919463087248,0.303095908205239,0.331787621260731,1.15258970401463,111,97,"HALLMARK ANDROGEN RESPONSE"
"HALLMARK_HEME_METABOLISM",0.170608108108108,0.284346846846847,0.303799979120458,1.15154658829024,100,179,"HALLMARK HEME METABOLISM"
"HALLMARK_FATTY_ACID_METABOLISM",0.212978369384359,0.313203484388764,0.306883392508406,1.13002561827203,127,141,"HALLMARK FATTY ACID METABOLISM"
"HALLMARK_APICAL_JUNCTION",0.277495769881557,0.3843147472642,0.285112462637076,1.08718314592527,163,188,"HALLMARK APICAL JUNCTION"
"HALLMARK_APOPTOSIS",0.285472972972973,0.3843147472642,0.291156429752829,1.08249234057682,168,151,"HALLMARK APOPTOSIS"
"HALLMARK_UV_RESPONSE_UP",0.328836424957841,0.421585160202361,0.285224760756962,1.0632270309389,194,152,"HALLMARK UV RESPONSE UP"
"HALLMARK_MYOGENESIS",0.459459459459459,0.574324324324324,0.262949074544656,0.996702207033117,271,179,"HALLMARK MYOGENESIS"
"HALLMARK_DNA_REPAIR",0.529610829103215,0.645866864760018,0.259914142515906,0.96285167628086,312,149,"HALLMARK DNA REPAIR"
"HALLMARK_P53_PATHWAY",0.638047138047138,0.759579926246593,0.242356532536973,0.928783673295879,378,196,"HALLMARK P53 PATHWAY"
"HALLMARK_TGF_BETA_SIGNALING",0.677816901408451,0.788159187684245,0.28072458649598,0.870694287614856,384,52,"HALLMARK TGF BETA SIGNALING"
"HALLMARK_MITOTIC_SPINDLE",0.885906040268456,0.942453234328145,0.214667223092847,0.823024033568519,527,198,"HALLMARK MITOTIC SPINDLE"
"HALLMARK_SPERMATOGENESIS",0.918781725888325,0.957064297800338,0.219312756840927,0.76768438550833,542,103,"HALLMARK SPERMATOGENESIS"
"HALLMARK_UV_RESPONSE_DN",0.948760330578512,0.968122786304604,0.208296846262085,0.764445700950808,573,138,"HALLMARK UV RESPONSE DN"
"HALLMARK_NOTCH_SIGNALING",0.82280701754386,0.914230019493177,0.27073905026244,0.762504311657035,468,32,"HALLMARK NOTCH SIGNALING"
"HALLMARK_HEDGEHOG_SIGNALING",0.878734622144112,0.942453234328145,0.2527835423097,0.723004344987068,499,35,"HALLMARK HEDGEHOG SIGNALING"
"HALLMARK_G2M_CHECKPOINT",1,1,0.140388741512996,0.538767813935197,596,199,"HALLMARK G2M CHECKPOINT"
"HALLMARK_PEROXISOME",0.812807881773399,0.914230019493177,-0.233683705110106,-0.835511984631548,329,97,"HALLMARK PEROXISOME"
"HALLMARK_KRAS_SIGNALING_DN",0.292079207920792,0.3843147472642,-0.275207985928109,-1.07470994217716,117,156,"HALLMARK KRAS SIGNALING DN"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.20863309352518,0.313203484388764,-0.280366088598684,-1.1173458075613,86,190,"HALLMARK ESTROGEN RESPONSE LATE"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0294117647058824,0.0682343061095948,-0.328878275148884,-1.31017715586409,11,196,"HALLMARK ESTROGEN RESPONSE EARLY"
"HALLMARK_BILE_ACID_METABOLISM",0.0551558752997602,0.102363670202866,-0.366070141011844,-1.32157056199463,22,100,"HALLMARK BILE ACID METABOLISM"
"HALLMARK_E2F_TARGETS",0.0123456790123457,0.0385802469135802,-0.353004075598812,-1.40886266493516,4,199,"HALLMARK E2F TARGETS"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0300230946882217,0.0682343061095948,-0.470835359610122,-1.44513112787486,12,41,"HALLMARK WNT BETA CATENIN SIGNALING"
