"sample_id","tMAD","cell_line","Cell.Type","subtype","X..CA.cells","Centros..Size","Nuclei.intensity","X..MN.cells","Mitotic.index","X..yH2AX.cells"
"JBLAB-6316",0.697551795,"CIOV1","CIOV1","HGSOC",29.9104879,2.97995582,9643.034689,5.84460769,0.035634631,NA
"JBLAB-6318",0.225123644,"CIOV3","CIOV3","HGSOC",9.339942775,2.986685639,7346.659784,19.15805583,0.043327071,0.007978723
"JBLAB-6351",0.049376385,"IGROV1","IGROV-1","other",12.62434809,3.017168391,6773.976706,3.392180773,0.034971449,0.005965709
"JBLAB-6381",0.541436254,"CIOV2","CIOV2","HGSOC",40.09171551,2.941378552,12161.57503,8.411019684,0.062212122,0.029088797
"JBLAB-6319",0.587474532,"CIOV4","CIOV4","HGSOC",20.65162907,2.999199271,11790.18597,21.61236424,0.109117829,NA
"JBLAB-6320",0.169778096,"CIOV5","CIOV5","HGSOC",24.27671927,2.92726825,12056.77915,6.206859768,0.053653593,NA
"JBLAB-6321",0.233975958,"CIOV6","CIOV6","HGSOC",5.19228824,2.979970123,4867.140219,14.02321726,0.022162045,0.002862549
"JBLAB-6322",0.059732756,"2774","2774N","other",21.45298468,2.824586222,10101.68963,6.939622168,0.054284203,0.063169952
"JBLAB-6324",0.525288697,"59M","59M","HGSOC",20.1115618,2.981170978,9755.955326,43.96582773,0.057842838,NA
"JBLAB-6325",0.069342124,"OV56","OV56","HGSOC",NA,NA,NA,NA,NA,NA
"JBLAB-6326",0.240920203,"COV362","COV362","other",29.76331044,2.872550959,11320.65238,16.14585699,0.05583635,NA
"JBLAB-6327",0.472674389,"COV318","COV318","HGSOC",49.79955092,2.936681493,11138.345,30.32293426,0.076629069,NA
"JBLAB-6328",0.515965859,"TOV-3133 D","TOV-3133 D","HGSOC",31.99549939,2.943554883,7020.680241,11.00915277,0.067791701,NA
"JBLAB-6329",0.064446257,"OV-90","OV-90","HGSOC",37.51169434,2.880615811,9816.847023,24.54385973,0.07351135,0.027473001
"JBLAB-6331",0.606407386,"TOV-2835 EP","TOV-2835EP","HGSOC",36.76212121,2.8793563,10374.55446,14.0250398,0.094934286,0.018514432
"JBLAB-6332",0.40330308,"TOV-3041 G","TOV-3041G","HGSOC",28.91146662,2.901047135,8715.109525,13.12933021,0.035338759,0.019446231
"JBLAB-6334",0.538939195,"CAOV3","CAOV3","HGSOC",37.73885755,2.896212637,11436.26972,16.47114333,0.039959754,NA
"JBLAB-6335",0.635683113,"OVSAHO","OVSAHO","HGSOC",29.09891951,2.972767421,9792.469199,41.45137648,0.050609409,0.062249487
"JBLAB-6336",0.365417917,"TOV-2881 EP","TOV-2881 EP","HGSOC",45.28925797,2.958433802,8995.536544,19.37096802,0.08756082,NA
"JBLAB-6337",0.539007765,"TOV-2929 D","TOV-2929 D","HGSOC",32.79304675,2.947334417,9462.742627,45.87737844,0.036904762,NA
"JBLAB-6338",0.362635207,"OV-2085","OV-2085","HGSOC",20.74246808,2.939299577,10054.34406,29.6184893,0.041221049,0.031845543
"JBLAB-6340",0.150126149,"OV-3331","OV-3331","HGSOC",30.15052453,2.937367107,7653.871788,14.36329916,0.02785277,0.049900041
