"cell_line","sample_id","Cell.Type","Media","OxygenConditions","Provider","Type","subtype","subtype2","comment","X..CA.cells","Centros..Size","Nuclei.intensity","X..MN.cells","Mitotic.index","X..yH2AX.cells","s1","s2","s3","s4","s5","s6","s7"
"2774","JBLAB-6322","2774N","DMEM/F-12","21%","Jozien Helleman, Netherlands","endometrioid ovarian carcinoma","other","endometrioid","probably",21.45298468,2.824586222,10101.68963,6.939622168,0.054284203,0.063169952,0.652431718363902,0.14298523162221,0.15784191873052,0,0,0.0362278764067039,0.0105132548766638
"59M","JBLAB-6324","59M","DMEM/F-12","21%","Jozien Helleman, Netherlands","HGSOC","HGSOC","HGSOC",NA,20.1115618,2.981170978,9755.955326,43.96582773,0.057842838,NA,0.141454207561902,0.102342596877866,0.201086917272387,0.0895718742595861,0.111126090620186,0.142142340848501,0.212275972559573
"A2780",NA,"A2780","RPMI 1640","21%","Jozien Helleman, Netherlands","unknown","unknown","unknown","catalog as ovarian carcinoma but dubious. This clone is resistant to adriamycin",42.30680095,2.813305714,4202.237254,12.14965349,0.009046567,0.007536196,NA,NA,NA,NA,NA,NA,NA
"A2780ADR","JBLAB-6343","A2780-ADR","RPMI 1640","21%","Jozien Helleman, Netherlands","unknown","unknown","unknown","catalog as ovarian carcinoma but dubious. This clone is resistant to adriamycin",5.705021506,2.966829484,6951.106039,10.0781847,0.012926867,0.005623052,0.31647033389544,0.201750308039383,0.404352196754356,0,0,0.0774271613108204,0
"A2780CIS","JBLAB-6342","A2780-CIS","RPMI 1640","21%","Jozien Helleman, Netherlands","unknown","unknown","unknown","catalog as ovarian carcinoma but dubious. This clone is resistant to cisplatin",15.40390671,2.965387974,10888.65082,3.954831228,0.029782319,0.001835709,0.629286247976783,0.0649449775080423,0.305768774515174,0,0,0,0
"CAOV3","JBLAB-6334","CAOV3","DMEM/F-12","21%","unknown","HGSOC","HGSOC","HGSOC",NA,37.73885755,2.896212637,11436.26972,16.47114333,0.039959754,NA,0.0515006906605406,0.255479467453768,0.494777572340764,0,0.0734554955030018,0.0218541265886767,0.102932647453249
"CAOV4","JBLAB-6374","CAOV4","L-15","21%","Jozien Helleman, Netherlands","HGSOC","HGSOC","HGSOC",NA,21.83157004,2.993441074,9726.374949,12.93296763,0.031163995,NA,0.230179915260314,0.212113935735876,0.2178707596307,0.0570370286191876,0.0435012918945558,0.239297068859366,0
"CIOV1","JBLAB-6316","CIOV1","DMEM/F-12","21%","in-house","HGSOC","HGSOC","HGSOC",NA,29.9104879,2.97995582,9643.034689,5.84460769,0.035634631,NA,0.421028718420341,0.115933896788704,0.414953210132136,0,0.0296250558018391,0.0184591188569794,0
"CIOV2","JBLAB-6381","CIOV2","DMEM/F-12","21%","in-house","HGSOC","HGSOC","HGSOC",NA,40.09171551,2.941378552,12161.57503,8.411019684,0.062212122,0.029088797,0.19349750247111,0.153440851004187,0.0788849747246906,0.134105548538104,0.0165624694793781,0.188411062353875,0.235097591428655
"CIOV3","JBLAB-6318","CIOV3","DMEM/F-12","21%","in-house","HGSOC","HGSOC","HGSOC",NA,9.339942775,2.986685639,7346.659784,19.15805583,0.043327071,0.007978723,0.205881516741562,0.0937408649060035,0.335367396335749,0,0.231457335540404,0.025981288387873,0.107571598088409
"CIOV4","JBLAB-6319","CIOV4","DMEM/F-12","21%","in-house","HGSOC","HGSOC","HGSOC",NA,20.65162907,2.999199271,11790.18597,21.61236424,0.109117829,NA,0.0518837567642928,0.289703934793955,0.212520129372205,0.0847923117112005,0.0391893724580905,0.237504782141233,0.0844057127590237
"CIOV5","JBLAB-6320","CIOV5","DMEM/F-12","21%","in-house","HGSOC","HGSOC","HGSOC",NA,24.27671927,2.92726825,12056.77915,6.206859768,0.053653593,NA,0.118688974732057,0.22902013276478,0.141695999351443,0.0544573426372737,0.194831695539567,0.124383843605987,0.136922011368892
"CIOV6","JBLAB-6321","CIOV6","DMEM/F-12","21%","in-house","HGSOC","HGSOC","HGSOC",NA,5.19228824,2.979970123,4867.140219,14.02321726,0.022162045,0.002862549,0.202226363450421,0.127796818723804,0.362685913300918,0,0.192384086364553,0.0110869014377107,0.103819916722593
"CIOV7","JBLAB-6357","CIOV7","DMEM/F-12","21%","in-house","HGSOC","HGSOC","HGSOC",NA,28.58187135,2.949341334,14149.84656,16.99926901,0.037341111,NA,0.332742438871051,0,0,0.11869125155101,0.293697721380126,0.0255319989627409,0.229336589235072
"COV318","JBLAB-6327","COV318","DMEM/F-12","21%","Jozien Helleman, Netherlands","HGSOC","HGSOC","HGSOC",NA,49.79955092,2.936681493,11138.345,30.32293426,0.076629069,NA,0.128534522427126,0.21878291285104,0,0.187072236080383,0.0983659718725118,0.137581590738677,0.229662766030263
