"cell_line","identifier","fit_GR","agent","ctrl_cell_doublings","GR50","GRmax","Cell.Line","use_experiment","comment","Cell.Type","X..CA.cells","Centros..size..","Nuclei.intensity","X..MN.cells","Mitotic.index","X..yH2AX.cells","CA_group","MN_group","SampleID","subtype","subtype2","details","group"
"A2780-ADR","A2780-ADR_exp6","flat","oxaliplatin",0.569811764209518,Inf,0.837528290289466,"A2780-ADR","exp6","noisy data","A2780-ADR",5.7050215,2.966829,6951.106,10.078185,0.012926867,0.005623052,"low","low","JBLAB-25696","unknown","unknown","Oxaliplatin","Alkylating agent"
"A2780-ADR","A2780-ADR_exp6","flat","paclitaxel",0.569811764209518,Inf,1.1340204106947,"A2780-ADR","exp6","noisy data","A2780-ADR",5.7050215,2.966829,6951.106,10.078185,0.012926867,0.005623052,"low","low","JBLAB-25696","unknown","unknown","Paclitaxel","Antimicrotubule agent"
"A2780-ADR","A2780-ADR_exp6","sigmoid","alisertib",0.569811764209518,62.1828498240238,-0.57493632798468,"A2780-ADR","exp6","noisy data","A2780-ADR",5.7050215,2.966829,6951.106,10.078185,0.012926867,0.005623052,"low","low","JBLAB-25696","unknown","unknown","AURKA","Aurora kinase"
"A2780-ADR","A2780-ADR_exp6","sigmoid","barasertib",0.569811764209518,21.9221624625523,0.0188140327710683,"A2780-ADR","exp6","noisy data","A2780-ADR",5.7050215,2.966829,6951.106,10.078185,0.012926867,0.005623052,"low","low","JBLAB-25696","unknown","unknown","AURKB","Aurora kinase"
"A2780-ADR","A2780-ADR_exp6","sigmoid","tozasertib",0.569811764209518,6.51146892441557,-0.999081056031405,"A2780-ADR","exp6","noisy data","A2780-ADR",5.7050215,2.966829,6951.106,10.078185,0.012926867,0.005623052,"low","low","JBLAB-25696","unknown","unknown","panAURK","Aurora kinase"
"A2780-ADR","A2780-ADR_exp6","sigmoid","cw069",0.569811764209518,30.4768687536719,-0.602965111764852,"A2780-ADR","exp6","noisy data","A2780-ADR",5.7050215,2.966829,6951.106,10.078185,0.012926867,0.005623052,"low","low","JBLAB-25696","unknown","unknown","KIFC1 (HSET)","Centrosome clustering"
"A2780-ADR","A2780-ADR_exp6","sigmoid","bi2536",0.569811764209518,0.284645048857155,-0.999142822264787,"A2780-ADR","exp6","noisy data","A2780-ADR",5.7050215,2.966829,6951.106,10.078185,0.012926867,0.005623052,"low","low","JBLAB-25696","unknown","unknown","panPLK","Polo like kinase"
"A2780-ADR","A2780-ADR_exp6","sigmoid","cfi400945",0.569811764209518,3.24427364934648,-0.999056092000164,"A2780-ADR","exp6","noisy data","A2780-ADR",5.7050215,2.966829,6951.106,10.078185,0.012926867,0.005623052,"low","low","JBLAB-25696","unknown","unknown","PLK4","Polo like kinase"
"A2780-ADR","A2780-ADR_exp6","sigmoid","volasertib",0.569811764209518,0.670782128031886,-0.998912850513851,"A2780-ADR","exp6","noisy data","A2780-ADR",5.7050215,2.966829,6951.106,10.078185,0.012926867,0.005623052,"low","low","JBLAB-25696","unknown","unknown","PLK1","Polo like kinase"
"A2780-ADR","A2780-ADR_exp6","sigmoid","az3146",0.569811764209518,11.7351655980763,-0.992856753265389,"A2780-ADR","exp6","noisy data","A2780-ADR",5.7050215,2.966829,6951.106,10.078185,0.012926867,0.005623052,"low","low","JBLAB-25696","unknown","unknown","TTK (MPS1)","SAC component"
